question,answer,category
"Yapay zeka ne işe yarar?","Yapay zeka, insan benzeri karar verme ve öğrenme süreçlerini otomatikleştirir.","Yapay Zeka"
"Makine öğrenmesi nedir?","Makine öğrenmesi, veriden öğrenip tahmin yapabilen algoritmalar geliştirme sürecidir.","Yapay Zeka"
"Derin öğrenme neden güçlüdür?","Derin öğrenme, çok katmanlı sinir ağlarıyla karmaşık örüntüleri öğrenebilir.","Yapay Zeka"
"Denetimli öğrenme ne demektir?","Denetimli öğrenme, etiketli verilerle model eğitimi yapılan öğrenme türüdür.","Yapay Zeka"
"Denetimsiz öğrenme nerede kullanılır?","Denetimsiz öğrenme, veri kümesindeki yapıları keşfetmek için kullanılır.","Yapay Zeka"
"Overfitting ne anlama gelir?","Overfitting, modelin eğitildiği veriye fazla uyum sağlaması sonucu genellemenin bozulmasıdır.","Yapay Zeka"
"Confusion matrix ne işe yarar?","Confusion matrix, sınıflandırma performansını TP, FP, FN ve TN ile gösterir.","Yapay Zeka"
"ROC eğrisi neyi gösterir?","ROC eğrisi, modelin true positive oranına karşı false positive oranını gösterir.","Yapay Zeka"
"Feature extraction nedir?","Feature extraction, ham veriden anlamlı öznitelikler çıkarma sürecidir.","Yapay Zeka"
"Model doğrulama nasıl yapılır?","Model doğrulama için genellikle cross-validation teknikleri kullanılır.","Yapay Zeka"
"Phishing nasıl tespit edilir?","Phishing, sahte bağlantılar, taklit e-postalar ve sosyal mühendislik yoluyla tespit edilir.","Siber Güvenlik"
"Firewall neyi engeller?","Firewall, yetkisiz ağ trafiğini engelleyerek sistemi korur.","Siber Güvenlik"
"DDoS saldırısı ne yapar?","DDoS, sistemi aşırı trafikle meşgul ederek hizmet veremez hale getirir.","Siber Güvenlik"
"SQL injection nasıl önlenir?","SQL injection, prepared statement ve input validation ile engellenir.","Siber Güvenlik"
"XSS saldırısı nasıl işler?","XSS, zararlı script’lerin web sayfalarına enjekte edilmesiyle gerçekleşir.","Siber Güvenlik"
"Hashleme neden tek yönlüdür?","Hashleme, girdiyi sabit boyutta bir çıktıya dönüştürür ve geri döndürülemezdir.","Siber Güvenlik"
"Penetrasyon testi ne sağlar?","Penetrasyon testi, sistemdeki güvenlik açıklarını proaktif şekilde ortaya çıkarır.","Siber Güvenlik"
"IDS ne işe yarar?","IDS, ağ trafiğini analiz ederek şüpheli aktiviteleri algılayan bir güvenlik sistemidir.","Siber Güvenlik"
"Zero-day açığı nedir?","Zero-day, henüz bilinmeyen veya yamalanmamış güvenlik açığıdır.","Siber Güvenlik"
"AI ile tehdit tespiti nasıl yapılır?","AI tabanlı sistemler, anormal davranışları öğrenip otomatik tehdit analizi yapabilir.","Siber Güvenlik"
"Doğal dil işleme nedir?","Doğal dil işleme, insan diliyle bilgisayarların anlamlı şekilde etkileşimini sağlar.","Yapay Zeka"
"Yapay sinir ağları nasıl çalışır?","Yapay sinir ağları, biyolojik sinir sistemlerinden esinlenerek veri üzerinde ağırlıklarla işlem yapar.","Yapay Zeka"
"Transfer learning ne işe yarar?","Transfer learning, başka bir görevde eğitilmiş modeli yeniden kullanarak öğrenme sürecini hızlandırır.","Yapay Zeka"
"Reinforcement learning nedir?","Reinforcement learning, ödül-ceza sistemine dayalı bir öğrenme yaklaşımıdır.","Yapay Zeka"
"Yapay zekada etik neden önemlidir?","Yapay zekada etik, tarafsızlık, gizlilik ve sorumluluk gibi toplumsal değerleri korumak için kritiktir.","Yapay Zeka"
"Overfitting nasıl önlenir?","Overfitting, erken durdurma, regularization ve daha fazla veri ile önlenebilir.","Yapay Zeka"
"Bias ve variance farkı nedir?","Bias, modelin basitleştirilmiş varsayımları; variance, verideki gürültüye duyarlılığıdır.","Yapay Zeka"
"Gradient descent nedir?","Gradient descent, hatayı azaltmak için ağırlıkları güncelleyen optimizasyon algoritmasıdır.","Yapay Zeka"
"Epoch ve batch size ne anlama gelir?","Epoch, tüm veri setinin bir kez işlenmesi; batch size ise her adımda kullanılan veri miktarıdır.","Yapay Zeka"
"Model tuning nasıl yapılır?","Model tuning, hiperparametre optimizasyonu ile model performansını artırmayı hedefler.","Yapay Zeka"
"Ransomware nedir?","Ransomware, dosyaları şifreleyip kullanıcıdan fidye talep eden kötü amaçlı yazılımdır.","Siber Güvenlik"
"Antivirüs programı nasıl çalışır?","Antivirüs, bilinen zararlı yazılımları imza tabanlı ya da davranışsal analizle tespit eder.","Siber Güvenlik"
"Sosyal mühendislik saldırısı örneği nedir?","Bir çalışana sahte bir e-posta gönderip parola istemek sosyal mühendislik örneğidir.","Siber Güvenlik"
"VPN ne işe yarar?","VPN, internet trafiğini şifreleyerek güvenli ve anonim bağlantı sağlar.","Siber Güvenlik"
"Siber güvenlikte en zayıf halka nedir?","Genellikle insanlar, yani kullanıcı davranışları siber güvenlikte en zayıf halkadır.","Siber Güvenlik"
"Two-factor authentication neden önemlidir?","2FA, tek şifre yerine ek doğrulama katmanı ile güvenliği artırır.","Siber Güvenlik"
"Brute force saldırısı nasıl işler?","Brute force, olası tüm kombinasyonları deneyerek parola kırmaya çalışan saldırı türüdür.","Siber Güvenlik"
"Man-in-the-middle saldırısı nedir?","Bu saldırıda, iki taraf arasındaki iletişim gizlice izlenir veya değiştirilir.","Siber Güvenlik"
"Log analizi neden yapılır?","Log analizi, sistem olaylarını inceleyerek anormallikleri ve saldırıları tespit etmeyi sağlar.","Siber Güvenlik"
"Red team ve blue team farkı nedir?","Red team saldırıyı simüle eder, blue team ise savunma yapar.","Siber Güvenlik"
